Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2025-08-31 11:40:49,"Medaix ",32m,"Shoulder Press (Machine)",1,150.0,10.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Shoulder Press (Machine)",2,120.0,10.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Lat Pulldown (Machine)",1,200.0,10.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Lat Pulldown (Machine)",2,180.0,10.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Torso Rotation (Machine)",1,70.0,13.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Torso Rotation (Machine)",2,70.0,13.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Back Extension (Machine)",1,120.0,13.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Back Extension (Machine)",2,120.0,12.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2026-01-06 19:17:51,"Medaix ",38m,"Leg Press",1,120.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Leg Press",2,120.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Leg Extension (Machine)",1,60.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Leg Extension (Machine)",2,60.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Seated Row (Machine)",1,100.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Seated Row (Machine)",2,100.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Shoulder Press (Machine)",1,80.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Shoulder Press (Machine)",2,80.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Lat Pulldown (Machine)",1,100.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Lat Pulldown (Machine)",2,100.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Torso Rotation (Machine)",1,40.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Torso Rotation (Machine)",2,40.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Back Extension (Machine)",1,60.0,15.0,0,0.0,
2026-01-06 19:17:51,"Medaix ",38m,"Back Extension (Machine)",2,60.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Elliptical Machine",1,0,0.0,0.8,300.0,
